Rank,ShirtNumber,Name,Team,Spikes,Faults,Shots,Total attempts,Success %
117,18,Thibault Rossard,FRA,57,26,56,139,0
118,19,Yacine Louati,FRA,44,22,48,114,0
119,21,Barthélémy Chinenyeze,FRA,81,21,37,139,0
120,23,Timothée Carle,FRA,42,20,19,81,0
121,2,Tobias Krick,GER,38,7,15,60,0
122,3,Ruben Schott,GER,92,51,94,237,0
123,5,Moritz Reichert,GER,81,30,92,203,0
124,7,David Sossenheimer,GER,33,17,34,84,0
125,8,Marcus Böhme,GER,40,13,11,64,0
126,11,Lukas Kampa,GER,4,0,1,5,0
127,12,Anton Brehme,GER,84,19,52,155,0
128,15,Noah Baxpöhler,GER,44,9,21,74,0
129,16,Tomas Kocian-Falkenbach,GER,1,0,3,4,0
130,17,Jan Zimmermann,GER,3,2,2,7,0
131,18,Jakob Günthör,GER,3,1,7,11,0
132,19,Daniel Malescha,GER,26,14,15,55,0
133,20,Linus Weber,GER,23,11,27,61,0
134,4,Mir Saeid Marouflakrani,IRI,18,4,28,50,0
135,5,Farhad Ghaemi,IRI,23,7,29,59,0
136,6,Seyed Mohammad Mousavi Eraghi,IRI,94,27,33,154,0
137,9,Masoud Gholami,IRI,9,1,4,14,0
138,14,Mohammadjavad Manavinezhad,IRI,35,12,29,76,0
139,15,Aliasghar Mojarad,IRI,26,6,17,49,0
140,16,Ali Shafiei,IRI,81,13,51,145,0
141,20,Porya Yali,IRI,51,23,35,109,0
142,21,Morteza Sharifi,IRI,1,1,1,3,0
143,24,Javad Karimisouchelmaei,IRI,3,1,0,4,0
144,1,Davide Candellaro,ITA,14,4,10,28,0
145,2,Riccardo Sbertoli,ITA,3,1,5,9,0
146,3,Luca Spirito,ITA,2,0,0,2,0
147,6,Simone Giannelli,ITA,29,4,20,53,0
148,7,Giacomo Raffaelli,ITA,8,4,5,17,0
149,8,Daniele Mazzone,ITA,15,2,8,25,0
150,12,Fabio Ricci,ITA,5,2,7,14,0
151,14,Matteo Piano,ITA,19,3,10,32,0
152,15,Roberto Russo,ITA,66,11,38,115,0
153,17,Simone Anzani,ITA,29,3,12,44,0
154,19,Daniele Lavia,ITA,98,38,89,225,0
155,21,Alberto Polo,ITA,20,6,11,37,0
156,22,Oreste Cavuto,ITA,75,29,82,186,0
157,23,Andrea Argenta,ITA,10,4,5,19,0
158,24,Giulio Pinali,ITA,98,37,77,212,0
159,28,Francesco Recine,ITA,1,1,2,4,0
160,1,Issei Otake,JPN,64,40,57,161,0
161,2,Hideomi Fukatsu,JPN,0,0,1,1,0
162,3,Naonobu Fujii,JPN,3,1,3,7,0
163,5,Tatsuya Fukuzawa,JPN,91,21,78,190,0
164,6,Akihiro Yamauchi,JPN,49,13,31,93,0
165,8,Masahiro Yanagida,JPN,56,29,50,135,0
166,12,Masahiro Sekita,JPN,5,2,6,13,0
167,13,Naoya Takano,JPN,49,22,45,116,0
168,15,Haku Ri,JPN,38,11,29,78,0
169,17,Tsubasa Hisahara,JPN,10,3,14,27,0
170,20,Taishi Onodera,JPN,65,11,48,124,0
171,1,Piotr Nowakowski,POL,9,4,4,17,0
172,2,Maciej Muzaj,POL,111,23,107,241,0
173,3,Dawid Konarski,POL,73,21,49,143,0
174,4,Marcin Komenda,POL,3,0,3,6,0
175,5,Lukasz Kaczmarek,POL,91,39,67,197,0
176,7,Artur Szalpuk,POL,38,15,30,83,0
177,11,Fabian Drzyzga,POL,0,0,1,1,0
178,13,Michal Kubiak,POL,12,11,17,40,0
179,14,Aleksander Sliwka,POL,107,22,86,215,0
